GSE,UID,n_samples,title,date,gdstype,tumor_pct,summary,category,reason,exclude_features,sample_example
GSE260997,200260997,2458,Mutant IDH inhibitors induce lineage differentiation in IDH-mutant Oligodendrogl,2024/05/01,Expression profiling by high throughput sequencing,0.0,"A subset of patients with IDH-mutant glioma respond to inhibitors of mutant IDH (IDHi), yet the molecular underpinnings of such responses are not unde",D,样本标题/摘要无特征词,-,"BWH20-P3-G10, Smart-seq2"
GSE168004,200168004,1595,Cancer - immune cell interactions drive transitions to mesenchymal-like states i,2021/04/23,Expression profiling by high throughput sequencing,0.0,"To understand the diversity of expression states in model systems of Glioblastomas, we profiled 949 single cells from 13 mice at different timepoints ",A?,摘要含瘤种词(样本标题无特征),-,GBM11_batch_352
GSE57872,200057872,875,Single cell RNA-seq of primary human glioblastomas,2014/06/12,Expression profiling by high throughput sequencing,0.0,We report transcriptomes from 430 single glioblastoma cells isolated from 5 individual tumors and 102 single cells from gliomasphere cells lines gener,C,单细胞/空间数据,-,Single cell mRNA-seq_MGH26_H12
GSE156902,200156902,804,Tumor-educated platelet RNA for the detection and (pseudo)progression monitoring,2020/10/22,Expression profiling by high throughput sequencing,29.9,"We report RNA-sequencing data of 805 blood platelet samples, including 240 tumor-educated platelet (TEP) samples collected from patients with glioblas",B,非目标瘤种/类型(液体活检/血液=804),液体活检/血液=804,Blood_Platelets_HC0385 [VUMC-HC-0385-TR2640]
GSE100351,200100351,579,The DNA methylation landscape of glioblastoma disease progression shows extensiv,2018/06/20,Methylation profiling by high throughput sequencing; Express,94.5,"Glioblastoma is characterized by widespread genetic and transcriptional heterogeneity, yet little is known about the role of the epigenome in glioblas",A,瘤种词样本94%,-,RRBS Glioblastoma patient pat_178 Surg.1 FFPE
GSE293560,200293560,402,Illumina Infinium MethylationEPIC data for Glioma,2025/04/04,Methylation profiling by genome tiling array,0.0,Methylation profiling by Illumina Infinium MethylationEPIC microarray of glioma subjects,E2,非表达谱技术(非表达谱;甲基化),-,206537470103_R03C01 Methylation
GSE119776,200119776,384,CHROMATIN LANDSCAPES REVEAL DEVELOPMENTALLY ENCODED TRANSCRIPTIONAL STATES THAT ,2019/03/18,Genome binding/occupancy profiling by high throughput sequen,0.0,This SuperSeries is composed of the SubSeries listed below.,B,非目标瘤种/类型(细胞系/处理实验=171),细胞系/处理实验=171,GSC12
GSE121723,200121723,364,Glioblastoma epigenome profiling identifies SOX10 as a master regulator of molec,2018/11/05,Genome binding/occupancy profiling by high throughput sequen,0.0,This SuperSeries is composed of the SubSeries listed below.,B,非目标瘤种/类型(细胞系/处理实验=28),细胞系/处理实验=28,AK217 [tumor methylation microarray]
GSE167806,200167806,298,ChIP-seq and RNA-seq data for Glioma,2022/09/22,Expression profiling by high throughput sequencing; Genome b,0.0,This SuperSeries is composed of the SubSeries listed below.,D,样本标题/摘要无特征词,-,sample 3269 K4me1
GSE68086,200068086,285,"RNA-seq of tumor-educated platelets enables blood-based pan-cancer, multiclass a",2015/10/30,Expression profiling by high throughput sequencing,0.0,"We report RNA-sequencing data of 283 blood platelet samples, including 228 tumor-educated platelet (TEP) samples collected from patients with six diff",B,非目标瘤种/类型(液体活检/血液=285),液体活检/血液=285; 其他癌种=39,Blood_Platelets_CRC-459
GSE107559,200107559,270,Ivy Glioblastoma Atlas Project (RNA-Seq),2017/12/01,Expression profiling by high throughput sequencing,0.0,"The Ivy Glioblastoma Atlas Project (Ivy GAP) is a detailed anatomically based transcriptomic atlas of human glioblastoma tumors.  As collaborators, th",B,非目标瘤种/类型(其他癌种=148),其他癌种=148,CSCC_CTpnz-PI3_W22-1-1-H.03
GSE200146,200200146,249,Restoring Tumor Immunogenicity with Dendritic Cell Reprogramming [human RNA-Seq],2023/07/07,Expression profiling by high throughput sequencing,0.0,Decreased antigen presentation contributes to the ability of cancer cells to evade the immune system. We used the minimal gene regulatory network of t,B,非目标瘤种/类型(细胞系/处理实验=249),细胞系/处理实验=249,888-MEL d9 CD45+HLA-DR+ rep4
GSE318645,200318645,226,Dual Immune Checkpoint Blockade Induces Distinct Systemic and Intratumoral Immun,2026/07/21,Expression profiling by high throughput sequencing,0.0,"We conducted a surgical window-of-opportunity trial (NCT04606316) in 63 patients with relapsed, resectable glioblastoma. Participants received either ",B,非目标瘤种/类型(液体活检/血液=179),液体活检/血液=179,"Patient 052,Baseline, PBMC, RNAseq"
GSE270126,200270126,219,Divergent medulloblastoma chromatin states disclose KDM2B as a selective depende,2026/06/22,Other; Expression profiling by high throughput sequencing,0.0,This SuperSeries is composed of the SubSeries listed below.,B,非目标瘤种/类型(细胞系/处理实验=32),细胞系/处理实验=32,D283_Day7_control_rep2
